Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Jameer Nelson Jr.,4.1633,11.6,4.3,1,3,0.333,0,1,0,2.3,2.3,1,0,0.7,0.7,2,1.7,1,0,0.7,8,Yet to be defined
Jalen Slawson,4.155,16.9,1,0,2.3,0,0,1,0,1,1.3,0.75,1.3,2.7,4,2,2,1,1.3,1,2,Glue Guy
Zhuric Phelps,4.1453,13.5,4.5,2,7,0.286,0.5,3,0.167,0,1.5,0,0.5,1,1.5,2,0.5,0.5,1,1,1,Yet to be defined
Gabe McGlothan,4.1245,18.6,6,2.3,5.7,0.412,1.3,4,0.333,0,0,0,1,3.3,4.3,0.3,1,0.7,0,1,-9,Yet to be defined
Jaylin Williams,4.0506,18.9,4.5,1.5,5.5,0.273,0.5,1.5,0.333,1,1,1,0.5,5,5.5,1,1,1,0,0.5,-10,Yet to be defined
Colin Castleton,4.0419,13.6,3,1.3,4.7,0.286,0.3,1,0.333,0,0.7,0,2,2.3,4.3,0.3,2.3,1,0.3,2.7,0,Yet to be defined
T.J. Bickerstaff,4.02,17.2,0,0,4,0,0,0,0,0,0,0,3,4,7,2,1,2,0,1,-1,Yet to be defined
Sir'Jabari Rice,4.0043,14.7,3.5,1.5,7.5,0.2,0.5,3.5,0.143,0,0.5,0,1.5,2,3.5,0.5,1.5,1,1,3,-6,Yet to be defined
Obinna Anochili-Killen,3.9971,12.9,5,2,3.5,0.571,0.5,1,0.5,0.5,1,0.5,1,2,3,0,0,0,1,2,3,Yet to be defined
Matthew Cleveland,3.9963,14.7,4.3,1.7,5.3,0.313,0.3,1.3,0.25,0.7,0.7,1,2.3,1.7,4,0.7,1.3,0,0.7,1.7,-3,Yet to be defined
RJ Davis,3.9576,12.5,6,2,6,0.333,0.5,3.5,0.143,1.5,2.5,0.6,0.5,0.5,1,3,1,0.5,0,2.5,-5,Yet to be defined
Craig Porter Jr.,3.95,6.5,7,2,2,1,1,1,1,2,2,1,0,1,1,1,0,0,0,1,9,Yet to be defined
Luka Scuka,3.9425,11.1,4.7,1,4.7,0.214,0.3,3,0.111,2.3,3.3,0.7,0.7,1.3,2,0.7,0,0,0.3,2,1,Yet to be defined
TY Johnson,3.94,14.4,0,0,5,0,0,2,0,0,0,0,0.5,3.5,4,2,0,0,1,2,5,Yet to be defined
Zach Freemantle,3.9329,8.9,4,1.5,3.5,0.429,0,0,0,1,1,1,1.5,3,4.5,1,1,1,0,1,5,Yet to be defined
Kadin Shedrick,3.9211,11.2,3,0.7,2.3,0.286,0,0.7,0,1.7,2.7,0.625,1.3,0.3,1.7,0.7,0.7,1.3,1,3,6,Yet to be defined
N'Faly Dante,3.9092,15.8,6.7,3,4.3,0.692,0,0,0,0.7,1.3,0.5,2,1,3,1.3,0.7,0.7,1.7,3.7,-8,Yet to be defined
Jamal Cain,3.8567,17.1,4.5,2,5.3,0.381,0.5,1.8,0.286,0,0,0,0.8,2,2.8,0.3,0.3,0.5,0.5,1.5,-2,Yet to be defined
CJ Huntley,3.83,14.7,2.7,1.3,3.3,0.4,0,1,0,0,0,0,1,2.3,3.3,0.7,1.3,0.7,0.3,2.3,3,Yet to be defined
Alex Schumacher,3.8165,8.7,6.7,2.7,6.3,0.421,1.3,3,0.444,0,0,0,0.3,0.7,1,1.3,1,0.3,0,1,3,Yet to be defined
D.J. Rodman,3.77,11.2,3,1,2,0.5,0.5,1,0.5,0.5,1,0.5,0.5,2.5,3,1.5,0.5,0.5,0,0.5,7,Yet to be defined
TJ Bamba,3.7583,16,4.3,1.3,5.5,0.227,0.3,2.3,0.111,1.5,2.8,0.545,1,1.3,2.3,0.8,0.5,0.5,0,2.3,-6,Yet to be defined
Kobe Johnson,3.7344,13.9,5,2,4.5,0.444,0,1,0,1,2,0.5,1.5,2,3.5,0,2.5,1.5,0,1,-5,Yet to be defined
