Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,#ERROR!
Efton Reid III,1,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
Jaden Springer,1,16.8,0,0,2,0,0,1,0,0,0,0,1,2,3,1,1,0,0,2,-18
Jahmyl Telfort,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3
Jalen Hood-Schifino,1,21.1,0,0,4,0,0,1,0,0,0,0,1,1,2,0,1,1,0,6,-19
Jalen Slawson,1,14.4,0,0,1,0,0,0,0,0,0,0,0,1,1,2,4,2,2,0,-5
Jaxson Robinson,2,9.9,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0.5,0,0,1,1
Josh Uduje,1,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10
Kadin Shedrick,1,9.7,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,2,1,5,-3
Keisei Tominaga,1,1.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Kerwin Walton,2,3.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,-4
Khalif Battle,1,14.2,0,0,2,0,0,1,0,0,0,0,0,1,1,1,2,1,0,1,9
Lance Ware,1,2.9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
Liam Robbins,1,4.8,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,-1
Marcus Williams,1,12.4,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0
Mylik Wilson,1,1.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Nate Santos,1,10.3,0,0,2,0,0,1,0,0,0,0,0,4,4,1,1,0,0,1,-1
Nathan Mensah,1,7,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,4,-1
Noah Farrakhan,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Romeo Weems,1,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-7
TY Johnson,1,16.4,0,0,6,0,0,3,0,0,0,0,1,5,6,3,0,0,2,3,21
Tyson Degenhart,1,4.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,9
Yudai Baba,1,1.5,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2
