Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Kevon Harris,6.4107,22.5,13,4.5,9.5,0.474,1.5,5,0.3,2.5,3,0.833,1,1.5,2.5,2.5,1,2.5,0,2,-12,1.25,0.5,1.25,1.25,0,1.5,0.75,1,3&D Wing
Leonard Miller,9.0505,23.4,13,5.5,13,0.423,1,5.5,0.182,1,1,1,1,7,8,0.5,2.5,1.5,2.5,3.5,-1,0.25,1.25,4,0.75,1.25,0.5,0.5,1.75,
Rayan Rupert,9.645,23.7,13,3,6,0.5,1.5,2,0.75,5.5,5.5,1,1.5,4.5,6,3.5,2,2,0,3.5,11,1.75,1,3,1,0,2.75,0.75,1.75,3&D Wing
Tosan Evbuomwan,8.23,24.3,13,4,8,0.5,1,2,0.5,4,4,1,1,3,4,3,5,1,1,5,-3,3,5,4,1,1,4,1,5,
Tyson Etienne,7.7712,22.9,13,4.5,11.5,0.391,4,9.5,0.421,0,0,0,1.5,0.5,2,2.5,1.5,1.5,0,4,-2,1.25,0.75,1,0.75,0,0,2,2,
Derik Queen,9.6729,26.7,12.5,4.5,10.5,0.429,0.5,1,0.5,3,5,0.6,2.5,9,11.5,2,4.5,0.5,0.5,5,-4,1,2.25,5.75,0.25,0.25,2.5,0.25,2.5,
Hunter Tyson,8.6761,28.5,12.5,4.5,14,0.321,1.5,5.5,0.273,2,3,0.667,1,8,9,1,1,1,0,1,-8,0.5,0.5,4.5,0.5,0,1.5,0.75,0.5,
Isaiah Collier,8.3285,24.3,12.5,4.5,8.5,0.529,1,2.5,0.4,2.5,4.5,0.556,1,4.5,5.5,6.5,4.5,1.5,0,2,-4,3.25,2.25,2.75,0.75,0,2.25,0.5,1,
Jaylen Sims,7.57,20.2,12.5,4.5,6,0.75,0.5,1,0.5,3,4,0.75,2,2,4,1.5,1.5,2.5,0,1.5,7,0.75,0.75,2,1.25,0,2,0.25,0.75,3&D Wing
Nikola Topić,10.3204,25.9,12.5,4.5,12,0.375,1.5,3.5,0.429,2,2,1,1,1.5,2.5,8,3,1.5,0,3,17,4,1.5,1.25,0.75,0,1,0.75,1.5,
Adonis Arms,7.2338,20.1,12,4,7,0.571,0,3,0,4,6,0.667,0,3,3,1,2,1,1,0,4,1,2,3,1,1,6,0,0,
Chaz Lanier,9.4793,25.1,12,4.5,12.5,0.36,3,9,0.333,0,0,0,0.5,2,2.5,3,1,1,0.5,1.5,16,1.5,0.5,1.25,0.5,0.25,0,1.5,0.75,
Eli John Ndiaye,8.53,20.8,12,4,8,0.5,1,4,0.25,3,4,0.75,4,2,6,2,0,1,1,3,8,2,0,6,1,1,4,1,3,Stretch Big / Rim Protector
Hugo González,10.4333,28.2,12,4,12,0.333,3,5,0.6,1,5,0.2,2,2,4,5,3,1,2,3,11,5,3,4,1,2,5,3,3,
Jackson Rowe,3.9214,25,12,5,7,0.714,1,2,0.5,1,1,1,0,3,3,1,2,1,0,2,-29,1,2,3,1,0,1,1,2,3&D Wing
Jazian Gortman,5.2244,18.3,12,5.5,9,0.611,1,3,0.333,0,0,0,0,2,2,1.5,1.5,0,0,0.5,-5,0.75,0.75,1,0,0,0,0.5,0.25,
Nikola Đurišić,9.3029,25.5,12,4.5,8.5,0.529,0.5,1,0.5,2.5,2.5,1,0.5,2,2.5,2.5,2.5,1,0.5,5.5,17,1.25,1.25,1.25,0.5,0.25,1.25,0.25,2.75,
Pacôme Dadiet,5.3908,21.7,12,5.5,12,0.458,1,4,0.25,0,0.5,0,1,2.5,3.5,1,2,0,0.5,2,-16,0.5,1,1.75,0,0.25,0.25,0.5,1,
Phillip Wheeler,5.5184,18.6,12,3,4.5,0.667,0.5,1,0.5,5.5,6,0.917,1.5,0.5,2,0,1.5,0.5,1.5,3.5,-9,0,0.75,1,0.25,0.75,3,0.25,1.75,
Wendell Moore Jr.,6.3296,18.6,12,4.5,8.5,0.529,1,2,0.5,2,3,0.667,1,4,5,0,0.5,0.5,0.5,1.5,-3,0,0.25,2.5,0.25,0.25,1.5,0.5,0.75,
Cormac Ryan,6.9496,21.7,11.7,3.3,9.7,0.345,2,6,0.333,3,3.7,0.818,0,0.3,0.3,2,2,1.3,0.3,2.7,-2,0.6666666667,0.6666666667,0.1,0.4333333333,0.1,1.233333333,0.6666666667,0.9,
Brooks Barnhizer,10.1852,26.4,11.5,5,10.5,0.476,0.5,3.5,0.143,1,3,0.333,0.5,5.5,6,2.5,1.5,6.5,0.5,1.5,15,1.25,0.75,3,3.25,0.25,1.5,0.25,0.75,3&D Wing
DJ Steward,9.3192,24.3,11.5,4.5,14,0.321,2,3.5,0.571,0.5,0.5,1,2,3.5,5.5,4,2,1.5,0.5,1.5,10,2,1,2.75,0.75,0.25,0.25,1,0.75,
DaRon Holmes II,6.65,24.9,11.5,4.5,7.5,0.6,2.5,5,0.5,0,0,0,1,4,5,0.5,1,0,0.5,2.5,-5,0.25,0.5,2.5,0,0.25,0,1.25,1.25,
Kobe Sanders,6.6003,16.1,11.5,4.5,9.5,0.474,1.5,3.5,0.429,1,1,1,0.5,1,1.5,2,1.5,1,0,2,6,1,0.75,0.75,0.5,0,0.5,0.75,1,
Riley Minix,9.1171,25.2,11.5,4,8.5,0.471,3,6,0.5,0.5,0.5,1,1,4,5,1.5,1,0.5,0,3,14,0.75,0.5,2.5,0.25,0,0.25,1.5,1.5,
Ryan Nembhard,9.3842,31.8,11.5,4.5,12,0.375,0.5,3,0.167,2,2,1,0,2.5,2.5,6,4,1,0,4,5,3,2,1.25,0.5,0,1,0.25,2,
Taelon Peter,6.9342,25.3,11.5,5,7.5,0.667,1.5,4,0.375,0,0,0,0.5,2,2.5,1.5,1,1,0,1,4,0.75,0.5,1.25,0.5,0,0,0.75,0.5,
Tyrell Harrison,8.0343,23.7,11.5,4.5,7,0.643,0,0,0,2.5,5,0.5,3,3.5,6.5,1,1.5,1,1,1.5,6,0.5,0.75,3.25,0.5,0.5,2.5,0,0.75,
