Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Isaac Jones,2,27,11,3,6,0.5,0.5,1,0.5,4.5,5.5,0.818,2.5,3.5,6,2.5,2.5,1,0.5,3,8,89.818,8.9818,1.25,1.25,3,0.5,0.25,2.75,0.25,1.5,
Kenneth Lofton Jr.,1,17.9,11,1,8,0.125,0,0,0,9,10,0.9,6,3,9,2,3,0,1,1,13,95.925,9.5925,2,3,9,0,1,10,0,1,Stretch Big / Rim Protector
Mason Jones,2,26.9,11,3,7,0.429,2,5,0.4,3,4,0.75,0.5,2.5,3,5.5,1,1,0,3.5,2,82.479,8.2479,2.75,0.5,1.5,0.5,0,2,1,1.75,
Micah Peavy,1,24.9,11,5,9,0.556,1,2,0.5,0,0,0,3,4,7,0,2,2,0,7,-20,58.956,5.8956,0,2,7,2,0,0,1,7,
Oso Ighodaro,1,31,11,4,5,0.8,0,0,0,3,4,0.75,6,8,14,2,3,3,0,2,4,101.55,10.155,2,3,14,3,0,4,0,2,
Vladislav Goldin,1,13.4,11,5,5,1,0,0,0,1,3,0.333,1,0,1,1,3,0,0,0,14,59.733,5.9733,1,3,1,0,0,3,0,0,
Osayi Osifo,2,18.9,10.5,5,6.5,0.769,0,0,0,0.5,0.5,1,1.5,2.5,4,1.5,0,0.5,1,5,17,76.669,7.6669,0.75,0,2,0.25,0.5,0.25,0,2.5,
Tamar Bates,2,18.3,10.5,4.5,12.5,0.36,0.5,4.5,0.111,1,1,1,1.5,0,1.5,2,1.5,1.5,0,1.5,2,65.771,6.5771,1,0.75,0.75,0.75,0,0.5,0.25,0.75,
Bobi Klintman,1,31.6,10,3,7,0.429,1,3,0.333,3,4,0.75,1,7,8,5,2,2,1,2,22,114.112,11.4112,5,2,8,2,1,4,1,2,Euro Facilitator
Chaz Lanier,1,24.8,10,4,11,0.364,2,7,0.286,0,0,0,1,1,2,4,1,1,1,2,11,83.45,8.345,4,1,2,1,1,0,2,2,
