Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,Euro Archetype,European Archetype
Boogie Ellis,13.0791,19.4,10.0,3.0,7.7,0.391,2.7,4.3,61.5,1.3,1.3,1.0,1.3,2.0,3.3,3.0,2.3,2.3,0.0,3.0,1,,TBD
Brice Williams,8.1244,13.5,10.0,4.0,9.0,0.444,2.0,6.0,33.3,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,-6,,TBD
DJ Steward,14.0524,25.7,10.0,4.0,12.3,0.324,1.7,3.0,55.6,0.3,0.3,1.0,1.3,3.3,4.7,4.3,2.7,1.7,0.3,1.0,7,,TBD
Dexter Dennis,15.185,20.6,10.0,3.0,4.0,0.75,3.0,3.7,81.8,1.0,1.7,0.6,0.7,1.0,1.7,0.0,0.3,0.3,0.7,2.0,15,,TBD
Egor Dëmin,10.7733,24.9,10.0,3.0,9.0,0.333,3.0,7.5,40.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.5,1.0,0.5,2.0,-8,,TBD
Hansen Yang,11.16,24.8,10.0,3.5,7.5,0.467,0.5,2.5,20.0,2.5,3.0,0.833,1.0,3.5,4.5,4.0,4.0,0.5,2.0,4.5,12,,TBD
Justin Edwards,9.0285,25.5,10.0,3.5,11.0,0.318,2.0,6.0,33.3,1.0,1.5,0.667,0.0,1.5,1.5,1.0,3.0,0.0,0.0,3.5,-15,,TBD
Malevy Leons,14.5143,22.5,10.0,4.5,7.0,0.643,0.5,1.0,50.0,0.5,0.5,1.0,3.0,4.0,7.0,3.0,0.5,1.5,1.0,5.0,22,,TBD
Nolan Traore,9.4375,24.6,10.0,3.0,7.5,0.4,0.5,2.5,20.0,3.5,4.0,0.875,1.0,3.5,4.5,3.0,3.0,0.0,0.0,3.5,-1,,TBD
Spencer Jones,9.5966,24.1,10.0,4.0,7.5,0.533,1.5,4.0,37.5,0.5,1.5,0.333,1.0,3.0,4.0,0.0,1.0,1.5,0.0,5.0,-11,,TBD
Yves Missi,7.4508,25.3,10.0,4.0,10.0,0.4,0.0,0.0,0.0,2.0,6.5,0.308,5.0,7.0,12.0,0.0,0.5,1.0,1.5,2.0,-13,,TBD
Mason Jones,12.36,25.5,9.7,2.7,6.7,0.4,2.0,5.0,40.0,2.3,3.3,0.7,0.3,3.0,3.3,5.7,2.0,0.7,0.0,2.3,8,,TBD
Yuri Collins,6.374,25.4,9.7,3.7,8.3,0.44,0.0,1.0,0.0,2.3,2.3,1.0,0.7,2.3,3.0,5.0,3.0,1.0,0.3,2.3,-8,,TBD
AJ Johnson,5.2733,20.4,9.5,3.5,7.0,0.5,0.0,2.0,0.0,2.5,3.0,0.833,0.5,3.0,3.5,0.5,1.5,0.5,0.0,1.0,-7,,TBD
