Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,European Archetype
Great Osobor,5.0605,12.8,4.0,1.7,3.7,0.455,0.0,0.3,0.0,0.7,2.7,0.25,1.7,3.3,5.0,1.0,1.0,0.7,0.3,2.0,9.0,TBD
Dain Dainja,4.9533,13.2,5.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,3.0,1.0,2.0,0.0,0.0,3.0,8.5,TBD
Moussa Cisse,4.89,15.1,4.7,2.3,4.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.3,4.0,0.0,0.3,1.0,1.3,2.0,9.0,TBD
Isaiah Wong,4.8473,12.3,3.0,1.0,3.7,0.273,0.3,1.7,20.0,0.7,0.7,1.0,0.0,0.3,0.3,0.7,1.0,0.7,0.0,1.3,-0.5,TBD
Jaylin Williams,4.7867,18.2,4.0,1.0,6.0,0.167,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,-0.5,TBD
John Poulakidas,4.7414,11.8,2.3,1.0,4.7,0.214,0.3,3.3,10.0,0.0,0.3,0.0,0.0,1.0,1.0,1.0,0.0,0.7,0.0,1.3,8.5,TBD
Jalen Hood-Schifino,4.66,21.1,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,6.0,8.5,TBD
John Ukomadu,4.65,15.5,1.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,8.5,TBD
Emanuel Miller,4.57,16.8,7.0,2.0,5.0,0.4,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,-0.5,TBD
Jamarion Sharp,4.505,17.4,2.3,1.0,1.3,0.75,0.0,0.0,0.0,0.3,0.7,0.5,1.7,2.3,4.0,0.0,1.0,0.3,1.3,1.7,8.5,TBD
Anton Watson,4.465,6.9,1.5,0.5,2.0,0.25,0.5,2.0,25.0,0.0,0.0,0.0,1.5,0.5,2.0,1.0,0.5,0.0,0.0,1.0,-0.5,TBD
Jamir Watkins,4.4083,16.0,4.5,1.0,4.0,0.25,0.0,2.0,0.0,2.5,3.0,0.833,1.0,1.5,2.5,0.5,0.0,2.5,0.0,2.5,-0.5,TBD
Vladislav Goldin,4.3804,14.4,7.0,2.5,3.0,0.833,0.0,0.0,0.0,2.0,3.5,0.571,0.5,2.5,3.0,0.5,2.5,0.0,0.0,1.5,-0.5,TBD
CJ Huntley,4.38,14.7,2.7,1.3,3.3,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.3,3.3,0.7,1.3,0.7,0.3,2.3,8.5,TBD
TY Johnson,4.34,14.4,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,3.5,4.0,2.0,0.0,0.0,1.0,2.0,9.0,TBD
Trey Alexander,4.3075,16.2,2.5,0.5,4.0,0.125,0.0,1.0,0.0,1.5,2.0,0.75,0.0,1.0,1.0,1.0,1.5,0.0,0.0,1.0,9.0,TBD
Adama Sanogo,4.28,10.9,3.3,1.3,1.7,0.8,0.0,0.0,0.0,0.7,0.7,1.0,1.7,2.7,4.3,2.3,0.0,0.7,0.7,1.0,9.0,TBD
Jameer Nelson Jr.,4.2633,11.6,4.3,1.0,3.0,0.333,0.0,1.0,0.0,2.3,2.3,1.0,0.0,0.7,0.7,2.0,1.7,1.0,0.0,0.7,9.0,TBD
Hason Ward,4.2275,12.9,7.0,3.5,4.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,3.5,2.0,1.0,0.5,0.5,3.5,-0.5,TBD
Donovan Williams,4.225,13.0,3.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,1.0,0.0,2.0,3.0,1.0,-0.5,TBD
Marcus Williams,4.1925,13.8,1.0,0.5,4.0,0.125,0.0,2.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,2.5,2.0,0.5,1.5,1.5,8.5,TBD
Keyontae Johnson,4.1733,12.4,3.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,8.5,TBD
Damion Baugh,4.1458,13.7,3.0,1.3,4.3,0.308,0.0,1.0,0.0,0.3,1.3,0.25,0.3,1.0,1.3,1.3,1.0,1.0,0.3,1.3,8.5,TBD
T.J. Bickerstaff,4.07,17.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,1.0,2.0,0.0,1.0,-0.5,TBD
Miller Kopp,4.07,11.0,1.5,0.5,2.5,0.2,0.5,2.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-0.5,TBD
Christian Shumate,3.82,13.2,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,8.5,TBD
Jabri Abdur-Rahim,3.6767,7.1,2.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,TBD
Dylan Cardwell,3.64,11.4,1.7,0.7,1.3,0.5,0.0,0.0,0.0,0.3,0.7,0.5,1.0,2.3,3.3,0.3,1.0,0.0,0.7,1.7,9.0,TBD
